source_group,number_of_sources,total
AU-ANL:MA|AU-SAUS|AuCNLKIN,3,9
AU-AIAS|AU-ANU:ADBO|AU-ANU:OA,3,1
AU-VANDS|AU-VPRO|AuCNLKIN,3,3
AU-ANL:MA|AU-ANU:ADBO,2,3
AU-ANL:AD|AU-ANU:ADBO|AU-ANU:OA|AU-NUN:DAAO|AuCNLKIN,5,1
AU-AIAS|AU-APC:WB|AuCNLKIN,3,6
AU-NMUS:CAN|AU-VANDS,2,1
AU-ANU:ADBO|AU-NUN:DAAO|AU-SAUS,3,6
AU-ANU:ADBO|AU-NUN:DAAO|AU-VU|AU-VU:EOAS|AuCNLKIN,5,2
AU-AIAS|AU-ANU:OA|AU-VU:AWR|AuCNLKIN,4,4
AU-ANL:AD|AU-ANL:MA|AU-ANU:ADBO|AU-SAUS|AuCNLKIN,5,1
AU-SFU:PDM|AU-WS:AUS,2,1
AU-APAR|AU-NSAL,2,2
AU-ANU:ADBO|AU-ANU:OA|AU-NUN:DAAO|AU-VU:AWR|AuCNLKIN,5,2
AU-NMUS:CAN|AU-VU:EOAS|AuCNLKIN,3,4
AU-AIAS|AU-ANU:ADBO|AU-ANU:OA|AU-VU:EOAS|AuCNLKIN,5,2
AU-ANU:ADBO|AU-ANU:OA|AU-APAR:S,3,5
AU-ANL:MA|AU-ANU:ADBO|AU-NAMC|AU-SAUS|AU-VU:AWR|AuCNLKIN,6,1
AU-APAR|AU-VU,2,1
AU-VAFI,1,6
AU-APAR|AU-NSAL|AuCNLKIN,3,2
AU-ANL:AD|AU-SAUS|AU-VU:AWR|AuCNLKIN,4,6
AU-ANU:ADBO|AU-VU|AU-VU:AWR|AU-VU:EOAS|AuCNLKIN,5,2
AU-NMUS:CAN|AU-SAUS|AU-VANDS|AU-VU:EOAS|AuCNLKIN,5,1
AU-ANU:OA|AU-QPRO|AU-SAUS|AuCNLKIN,4,1
AU-ANU:OA|AU-SAUS|AU-VU:AWR|AuCNLKIN,4,6
AU-ANL:MA-DM|AU-SAUS|AuCNLKIN,3,8
AU-ANU:ADBO|AU-APAR|AU-NSAL|AuCNLKIN,4,2
AU-QU|AU-VU:EOAS|AuCNLKIN,3,1
AU-ANU:ADBO|AU-NAMC|AU-SAUS|AuCNLKIN,4,2
AU-ANL:MA|AU-VU:AWR,2,1
AU-ANU:ADBO|AU-ANU:OA|AU-APAR|AU-APAR:S|AuCNLKIN,5,4
AU-ANU:ADBO|AU-ANU:OA|AU-VU:AWR|AU-VU:EOAS|AuCNLKIN,5,4
AU-QGU|AU-SAUS|AuCNLKIN,3,1
AU-NUN:DAAO|AU-VAFI|AU-YORCID,3,1
AU-AIAS|AU-ANU:OA|AU-SAUS|AuCNLKIN,4,1
AU-ANU:ADBO|AU-ANU:OA|AU-VU:AWR|AU-VU:EOAS,4,3
AU-AIAS|AU-ANU:OA|AU-NUN:DAAO|AU-SAUS|AU-VU:AWR|AuCNLKIN,6,1
AU-ANL:MA|AU-ANL:MA-DM,2,1
AU-ANU:ADBO|AU-NSAL|AU-NUN:DAAO,3,1
AU-ANL:AD|AU-NUN:DAAO|AU-SAUS|AuCNLKIN,4,3
AU-AIAS|AU-VU,2,2
AU-ANL:AD|AU-VU:AWR|AuCNLKIN,3,4
AU-ANL:MA|AU-NAMC|AuCNLKIN,3,4
AU-QGU|AU-VU:EOAS|AuCNLKIN,3,1
AU-APAR|AU-VU:AWR|AU-VU:EOAS,3,2
AU-AIAS|AU-ANU:ADBO|AU-ANU:OA|AU-VU|AU-VU:AWR|AU-VU:EOAS|AuCNLKIN,7,1
AU-SUSA|AU-VANDS|AU-VU:EOAS|AuCNLKIN,4,1
AU-VU|AU-VU:AWR|AU-VU:EOAS|AuCNLKIN,4,4
AU-ANL:AD|AU-ANU:ADBO|AU-NUN:DAAO|AU-SAUS|AuCNLKIN,5,1
AU-ANU:OA|AU-VU:EOAS|AU-YORCID,3,1
AU-NMUS:CAN|AU-VPRO|AuCNLKIN,3,2
AU-ANU:ADBO|AU-NUN:DAAO|AU-SAUS|AU-VU:AWR|AuCNLKIN,5,4
AU-ANL:AD|AU-ANU:ADBO|AU-VU:AWR|AuCNLKIN,4,2
AU-ANL:MA-DM|AU-NAMO|AU-SAUS|AuCNLKIN,4,3
AU-NMQU|AU-YORCID,2,6
AU-AIAS|AU-VDU|AuCNLKIN,3,2
AuCNLKIN|OCLC-BNE|OCLC-BNF|OCLC-DNB|OCLC-LC|OCLC-NKC|OCLC-NLA|OCLC-NUKAT|OCLC-PTBNP|OCLC-VIAF,10,1
AU-NMUS:CAN|AU-SUSA|AuCNLKIN,3,1
AU-NAMC|AU-VASD,2,2
AU-NWU|AU-VANDS|AU-VU:EOAS|AuCNLKIN,4,1
AU-NNCU|AU-YORCID|AuCNLKIN,3,4
AU-NUN:DAAO|AU-VU|AU-VU:EOAS|AuCNLKIN,4,1
AU-AIAS|AU-APC:WB,2,1
AU-AIAS|AU-ANU:ADBO|AU-SAUS,3,1
