occupation,total
Tracker,8
Dance bandleader,1
Juggler,46
Media,23
Cinema,5
Film,15
Asian,2
Atrial Fibrillation,9
Cardiovascular,15
Polymeric Materials And Nanocomposites,1
Biomaterials And Biosensors,1
Bioresources,1
fibre reinforced composites and structures,1
Fisheries expert,3
Television producers and directors,22
Monks,97
Actresses,50
Palaeobotany,3
Biogeography,41
Macrofossils,1
Bishop,30
Wheelwright,11
Transit Oriented Development,1
Airport Planning,1
Land Use,4
Fauna Consultant,1
"Manufacturers, machinery and equipment",20
Microwave Characterisation,1
Plasma Polymerisation,2
Thin Film,1
Graphene,8
Public Health Nutrition,10
Photographic Scientist,1
Literary Patron,2
Raman Spectroscopy,1
Grazier's Wife,45
Industrial Officer,10
Popes,12
Screenwriters,80
Producers and directors,16
Anglican Archbishop,3
Host Factors,1
siRNA,1
HCV,4
HCMV,1
Nuclear Transport,2
Viral Replication,1
Molecular Virology,4
Community Health,3
Nursing Education,10
Critical Care,9
Family Health,1
"Member for Parkes, New South Wales",9
"Authors, Filipino",23
Retailer,23
Council and committee members,36
Taekwondo,2
Socialist,28
Nobel Prize winners,6
Molecular Biologists,3
Biophysicist,5
Great Britain--Officials and employees,2
Forecaster,10
Travel writers,16
Television producers,1
Producers,1
Research Fellow,11
Medium,4
Theater critics,7
Professor of Sociology of Communications. RMIT,1
money global banking migration user-centred design gender family violence,1
Mining managers,22
Whiplash,2
Brain Imaging,4
Central Sensitization,1
Nociception,1
Wardrobe Master,7
"Member for Fremantle, Western Australia",10
Production Supervisor ,82
Singer/songwriter,1
Warlpiri language C15,2
Business Manager,64
Collectors,29
Polymer Degradation,2
Opera Singer,22
Teacher Of Singing,5
Cannabinoid,1
Ion Channel,2
Opioid,2
Pharmacology,18
GPCR,2
Union Activist,6
Publican,73
Dealer,5
Catholic layman,6
Re-stager,24
Chancellors,13
Legislator,27
Government organisations,15
Creative Director,72
Sopranos (Singers),20
Botanical Artist,17
Instrumentalists,18
Snooker player,1
Billiard player,1
Overlander,12
Company director,67
Folk Musician,12
Documentary Filmmaker,7
Phylogenetic Analysis,1
Molecular Clock,1
Phylogenomics,7
Crime Entrepreneur,1
Assistant to the Designer,35
"Member for Sydney, New South Wales",3
‘rabbito’,1
Barracker,1
Conchologist,14
education technology emergent privacy security,1
Television and radio personality,1
"Member for Denison, Tasmania",14
"Authors, English",8
Weightlifter,12
Wheelchair Fencer,8
Multidrug Resistance,4
P-glycoprotein,2
Membrane Proteins,5
Tumour Biology,1
ABC Transporters,2
Aerialist,70
Archivists,62
Librarians,127
Paleographers,5
Conservators of documents,1
ADHD,7
Psychiatric Genetics,3
Functional Genomics,10
Financier,39
Information Systems,13
Antiquarians,15
Doctor,68
Biographers,59
Critics,61
Soil scientist,9
Professor Of Agriculture,5
Anthropology Lecturer,1
Costume Cutter,27
Orchardist,65
Churchwoman,1
Women's Rights Activist,107
Art consultant,2
Senator for Queensland,110
Activist,114
Neural Learning,1
Dendrites,1
Aboriginal Rights Activist,58
Archivist,30
Musicologist,95
Reciter,31
Patternmakers,4
Natural history artist,25
Wives,1
Society hostess,1
First Lady of the United States,1
Presidents' spouses--United States,1
Mothers,1
Diplomats' spouses,1
Brewer,40
Host,3
Membrane Formation,1
Self-assembly,7
Ionic Liquids,4
Deep Eutectic Solvents,1
Physical Chemistry,10
Biochemistry,35
Rheumatic Heart Disease,2
Small Angle Scattering,2
Histology,5
Biomedical Science,2
Judges,78
Music critic,30
Rabbis,28
Dance Director,184
Soil Biophysics,1
Computer-aided Tomography,1
Rhizosphere,2
Soil Structure,1
Graphic artists,37
Investor,15
Library administrator,2
Government Official,3
Trader,16
Rock Deformation,2
Structural Geology,17
Experimental Deformation,1
Microstructure,2
Orogenic Belts,1
Tectonics,22
Continental Crust,1
Tutor,16
Songwriters,6
Librettists,98
TV presenter,5
Copywriter,7
TV producer,2
TV director,2
professor of English,10
"Member for the Northern Territory, Northern Territory",6
Human Evolution,4
Sexual Selection,9
Blood Biomarkers,1
Single Cell profiling,1
Genomics,85
Genetics,85
Melanoma,23
Circulating Tumour Cells,3
Senator for ,61
Chinese Social Policy,1
Disability Policy,1
Disability Inclusive Research,1
Australian Social Policy,1
Biomarkers,10
Early Life Stress,2
Child Abuse,1
University Lecturer,34
Military chaplains,7
and Engineering Geolog,1
Geomechanics engineering – Rock and Soil Mechanics,1
Geotechnical Engineering,11
Signwriter,1
Actuaries,3
Pathologist,63
Professor Of Pathology,6
Lord Mayor,31
Fishing Industry Worker,1
Fishermen,22
Astrobiology,4
Sugar Refiner,3
Anglican archbishop,15
sustainability and life cycle assessment; sustainable regulation and decision-making; microbial nitr,1
wastewater treatment; water recycling; energy optimisation; microbial ecology,1
greenhouse gas emissions (CH4 and N2O); acidic and metalliferous drainage,1
Translational Research,9
Cardiovascular Research,1
Bioengineering,7
Immunohistochemistry,6
Tight-rope Walker,18
Vaccines,12
Virus,9
Immunity,9
Host-pathogen Interaction,3
"Singer, Comic",7
Commonwealth crown solicitor,3
Slate Quarry Owner,1
Documentary filmmaker,1
Essayist,17
"Member for Newcastle, New South Wales",6
Stonemason,13
Rector,1
Story-teller,1
Opera singer,7
Physiologist,51
Post-translational Modification,1
Neuronal Plasticity,1
Post-transcriptional Modification,1
Technical officer,10
Algal Biotechnology,1
Marine Microbiology,2
French studies specialists,1
Solicitor's Wife,4
Housing Market,1
Mortgages,1
Banking,4
Housing Finance,1
Vignerons,6
Naval Officer,143
Harpist,61
Amateur Photographer,2
Business Owner,13
Governing Director,1
Golfer,25
Feminist,165
Medical Officer,6
Founder,8
Freshwater,4
Heavy Metal Toxicity,1
Ecotoxicology,20
Marine,17
Tropical,2
Deputy Stage Manager,168
Aged Care Advocate,1
Chemical Physics,3
DFT,3
Theoretical Surface Science,1
Playright,6
Town Clerk,24
Mining Engineering,4
Print Maker,10
Retiree,34
Stunt performer,11
Businesswomen,8
Whalers,19
Television performer,1
Radio performer,2
Natural Resource Management,8
Fisheries Science and Management,1
Fisheries Policy,1
German literature,1
Comparative literature,1
Philologists,97
Arabists,4
Orientalists,23
Ecumenists,16
Cartographer,27
War Artist,11
Portraitist,11
Marine Biotechnology,1
Amyloid Beta,2
Alzheimer's Disease,26
Chaperone,54
Music examiner,8
Ballet Master,2
Wheelchair Tennis Player,15
Schoolteacher,125
Master Mariner,40
Nautical Instructor,1
Residential Development,1
Housing Supply,2
Medium Density Housing,1
Housing Affordability,2
Planning,7
Industrial Arbitrator,3
Building Contractor,16
Professional organisations,97
Performance,13
Theatre,11
Race Relations,2
Projection Designer,47
College presidents,64
Soil scientists,8
Joint Structure,1
Statistical Shape Modelling,1
Hip Morphology,1
Hip Osteoarthritis,2
Cell Physiology,2
Ion Channels,5
Neuropharmacology,4
Membrane Biophysics,2
Venom Peptides,2
Operations researcher,1
Rabbiter,1
Manufacturer,154
Clean Energy,4
Electrocatalysis,6
Materials Science,24
Medical media personality,1
Radio Health Show Presenter,1
Theatre manager,7
Circus manager,1
Notaries,4
Lobbyists,57
Cult Leader,1
Tiler,1
Slater,2
Palliative Care,17
Hospice,1
Magazine editor,2
Organisational Learning,2
Public Sector,3
Performance Management,5
Human Resources Management,1
Organisational Knowledge,1
Archbishops,3
Printmakers,25
Sculptors,28
Painters,109
"Member for Parramatta, New South Wales",12
Renewable energies,1
Piezoelectricity,1
Piezoelectric energy harvesting,1
Human motion energy harvesting,1
Film Editor,2
Film Maker,8
Xylophone,15
Clown,103
Education Reformer,5
Kindergarten Teacher,16
"Manufacturers, scientific equipment",2
Catholic priest,61
Pharmaceutical Sciences,1
Opioids,3
Substance Abuse,2
Pharmacoepidemiology,10
Socio-demographic Disadvantage,1
Cancer Epidemiology,4
Malaria,30
Academic Labour,1
Lifestyle Migration,1
Cultural Sociology,4
Classical Sociology,1
Banjoist,24
War Worker,11
Bibliographers,34
Nightclub Owner,2
Stygofauna,1
Native Bees,1
Zoologist,100
Retired Public Servant,2
"Authors, Marathi",2
Vocal Arranger,52
Innkeeper,6
Symbiosis,11
Soft Corals,1
Sponges,3
Toymakers,3
governor-general,21
Lieutenant General,1
Violinists,46
Chef,50
Actors and actresses,7
"Member for New England, New South Wales",9
Authors and publishers,5
Wardrobe Assistant,42
Dental scientist,11
Patron Of Science,3
Geo-physicist,1
Astronomer,96
Telecommunications,10
Information technologist,3
Wireless expert,6
Presenter,187
Emeritus Professor,1
Pharmaceuticals Manufacturer,5
Food writers,5
Physics,17
Cosmology,9
Agriculturists,22
Animal scientists,5
Youth workers,3
Sportswoman,25
Coach,16
Netball Coach,4
University Teacher,18
Orthopaedics,9
Sports,3
Military,4
Head Injury,2
Forensics,3
Spine,3
Ballistics,1
Rugby,1
Latency,2
Drug Resistance,11
Virology,17
Silent Mutations,1
HIV,18
Reservoir,1
women's activist,6
Tailoress,4
Spatial Ecology,9
Spatial Point Pattern Analysis,1
Conservation,41
Theoretical Ecology,3
One Health,1
Zoonoses,6
Veterinary Epidemiology,3
Hotelier,22
cane-grower,2
Employer organisations,11
Mixed Models,1
REML,1
Spiegeltent owner,1
ship-owner,9
Shipmaster,7
Amateur Astronomer,1
Watchmaker,9
Watch maker,1
Fishery consultants,1
Ecologists,18
"author, Children's stories.",1
Secretary,60
public-health physician,1
Merchant seaman,2
Cardiovascular System & Cardiology,1
Physiology,29
Anesthesiology,1
Research & Experimental Medicine,1
Emergency Medicine,13
Education & Educational Research,1
Critical Care Medicine,1
Health Care Sciences & Services,1
Cornetist,2
Storytellers,4
Academics - Philosophy,12
Farmer's Wife,23
Australian Rules footballer,17
Oysterman,1
Contributing Artist,37
School principal,12
Architects,90
Arranger,177
Urban Geography,2
Cities and Quality of Life,1
Economic Geography,1
Location Theory,1
Nuclear physicist,10
Mineralogist,28
Doctor's Wife,6
Ice-skater,1
"Member for Martin, New South Wales",5
Mining Director,2
eResearch,3
Geophysics,10
Geodynamics,10
Plate Tectonics,4
Anesthesiologists,1
lithographer; printer,1
Lithographic Printer,2
Wholesaler,3
Artist; TAFE lecturer,1
Phylogeography,16
Ichthyologist,6
Museum Preparator,1
Health Professional,2
Tour Guide,2
Research organisations,5
"Member for Lyne, New South Wales",6
Agricultural Worker,3
Agricultural and horticultural workers,20
Ironfounder,6
"Musician, Cellist",19
author of children’s books,1
Soil Science,13
Soil Physics,4
Storekeeper,54
Convict,54
Broadcaster,121
Dramatist ,1
Molecular Parasitology,3
Kunitz Type Protease Inhibitors,1
Trade union peak bodies,14
Medical researcher,15
Immunologist,19
Medical scientist,62
School Principal,21
Correspondent,1
Cinema Owner,1
Bacteriologist,32
Film producer,13
Theatrical agent,3
Stage producer,1
Protective Structure,1
Material Property,1
Blast and Impact,1
Goalball Player,14
Ethnologists,16
Dementia,37
Prion,2
Neural Stem Cells,4
"Australian singer, songwriter, actor and YouTuber.",1
Bank Manager,59
Biblical Scholar,5
Education,66
Theory of Mind,2
Learning,16
Brain Training,1
Attention,14
Theatre Studies,3
Perfo,1
Political Performance,1
Live Art,1
Performance Studies,2
Performance Philosophy,1
Consumer Behaviour,8
International Marketing,5
Air pilots,10
Helicopter pilots,3
Politician's Wife,5
Classicists,139
Script Editor,1
Television Writer,1
Radio Writer,1
Radio Producer,12
Art dealers,6
GIS,26
Spatial Analysis,7
Landscape Epidemiology,1
Bioremediation,7
Applied Microbiology,1
Environmental Chemistry,11
"Member for McMillan, Victoria",7
Foreign correspondents,5
Customs Officer,7
Interdisciplinary Science,1
Oceanography,17
Social entrepreneur,1
Cancer Models,1
Bone Tissue Engineering,1
Biomedical Engineering,19
Oncology,19
Prostate Cancer,19
Comic book letterer,18
Horticulturalist,46
Environmental consultant,5
Ceramic Artist,7
Art Historian,18
"Manufacturers, agricultural machinery",10
Reporter,6
Country Women's Association leader,2
Lutheran minister,3
Railway Employee,11
Psychologist,80
Billiard,1
Snooker Player,3
Bushranger,35
Bushrangers,5
Tradespeople,40
Jewelery Designer,1
Writer on music,24
Media Executive,6
Epidemiologists,3
Sociologists,79
Social Worker,82
Carpenter,46
Hydraulics,3
Estimation,1
Police Tracker,11
Automation,25
"Authors, Australian",3
Taxonomist,15
Dance teacher,6
Natural Convection,2
Magneto-hydrodynamics,1
Heat Transfer,13
CFD,9
Fluid Mechanics,7
"Musician, Guitarist",13
"Member for Kennedy, Queensland",7
Woodworkers,2
Biogeochemistry,16
Sustainability,58
Transdiciplinarity,1
Sanitation,2
Urban Ecology,6
Human Rights Advocate,9
Physiotherapist,25
Fruit Grower,13
Medical Scientist,29
"Member for Bowman, Queensland",9
Softball Player,31
Botanists.,1
Local Historian,5
"Musician, Flautist",15
Benefactor,34
Language,7
Literacy,11
Music Industry Figure,1
Band directors,16
Trombonists,7
Art Critic,12
Hairdressing,1
Immune Signalling,1
Super-resolution Microscopy,2
NK cells,2
T cells,9
Fluorescence Microscopy,3
Dominican Sister,3
College administrators,16
Ethnomusicologist,8
"Member for Eden-Monaro, New South Wales",12
Army Nurse,26
"Member for Forrest, New South Wales",1
Marshals,2
Scholars,46
Writers,28
Drainer,1
business operator (ACT Drainers),1
Paediatrician,31
IEC61850,1
Broadcasters,36
Amyotrophic Lateral Sclerosis,9
Neurodegenerative Disease,6
Newspaper,10
Eccentric,6
Sex Reformer,2
Patrol Officer,5
Magnetic Resonance Imaging,8
Developmental,1
Neuroimaging,22
Aboriginal-rights activist,1
Botanical artist,24
Catholic archbishop,18
Participation,9
Physiotherapy,22
Scoliosis,2
Bicycle Riding,1
Cerebral Palsy,13
Hip Surveillance,1
Double Diffusive,1
Environmental Fluid Dynamics,2
Lakes,4
Stratified Flows,1
Turbidity Currents,2
Physical Limnology,2
"Member for Corangamite, Victoria",9
Dramatists,122
Bassoonist,59
Family Practice,2
Predictive Value Of Tests,1
General Practice,12
Sore Throat,1
Church of England bishop,8
Cricket player,4
Business Executive,13
"Singer, Italian",2
African Genomics,1
Cardiometabolic Traits,1
Isolated Populations,1
Osteoarthritis,21
Statistical Genetics,10
Diabetes,58
Complex Disease Genetics,1
Sequencing,1
Flight engineers,1
Flight navigators Air pilots,1
Computational Topology,1
Professor Of Psychology,2
Academics - Psychology,4
Lector,1
Controls,1
Flexure,1
Nanopositioning,3
Dynamics,10
Piezoelectric Actuators,2
Professor Of Law,14
Research administrator,1
Scientists,65
Television writers,10
Paleontologist,4
Gender Cross-dresser,22
Flour millers,3
Police chief,2
Soil Microbiology,1
Motion picture authorship,2
Ballet,1
Cardiogenesis,2
Developmental Biology,15
Human Genomics,1
Somitogenesis,1
FGF signalling,1
Notch Signalling,1
Statistical Pattern Recognition,1
Mathematical Modelling,10
Risk Analysis,3
Fuzzy Rational Decision Analysis,1
Technical Diagnostics,1
Simulation Modelling,4
Invasive Species,9
Mediterranean-type Ecosystem,1
Plant-animal Interactions,3
Stud Breeder,1
stock-and-station agent,5
Physicists,37
British Soldier,7
Freethinkers,2
Sawmiller,16
racehorse-breeder,2
Sociologist,33
Lithographer,39
Writer and health researcher,1
Academics - Mathematics,11
Retailers,16
"Merchants, general",9
Senior Counsel,14
Associate Artist,13
Paleoceanography,6
Mass Extinctions,1
Benthic Foraminifera,1
Folk musician,23
Railway worker,2
Trade unionist,3
Chemical engineer,45
Pioneer Of Technical Education,1
Minister Of Justice,1
Gynaecologist,49
Computational Organometallic Chemistry,1
Physical Organic Chemistry,3
Academics - History,34
Medical teaching personnel,3
Critical care clinician,1
Education manager,1
Reforming of Methane,1
Nano Materials,1
Syngas Synthesis,1
Catalyst,1
Methanol Synthesis,1
Autobiographical Memory,2
Aging,20
Mild Cognitive Impairment,2
Subjective Memory Complaints,1
Glam rock musicians,2
Programme Administrator/Researcher,48
premier of Tonga,1
Tribunal Member,14
Scenario Planning,2
Industrial Engineering,2
Energy System Modelling,1
Energy Management,6
Decision Making Methods,1
Future Studies,1
Energy Policy,7
Floriculturist,1
Missionaries' spouses,6
Refugee advocate,1
Radio producer,7
Viola tutor,1
Viola player,1
Theatre critic,3
Coupled System,1
Photoelectrocatalysis,1
Solar-to-chemical Conversion,1
Charge Transportation Modulation,1
Photocatalysis,13
Audiovisual Sequencer,61
Union Organiser,25
Cultural development officer,1
Religion historians,12
Ethicists,40
Garden Designer,7
Shire President,24
Murder Victim,2
Osteosarcoma,1
Whole Exome Sequencing,1
Whole Genome Sequencing,5
Pathway Analysis,1
RNA editing,1
Gene Expression,10
Gene Set Enrichment Analysis,1
RNA-seq,3
MDS,1
Zoologists,20
Hydrologists,5
Research Cluster,1
officer (Royal Australian Navy),1
Methadone,1
Substance Use,5
Buprenorphine,1
Pregnancy,13
Psychooncology,1
Hypnosis,2
Stress,21
Psychoneuroimmunology,1
Meta-analysis,7
"Member for Capricornia, Queensland",14
Assistant Conductor,41
Harpsichordist,35
Field Marshal,1
Daylighting Design,1
Optical Design,1
Students,52
Analytical chemist,49
University Centre,4
